Epoch 347, current loss (training) 0.0147, current loss (val) 0.0153
Epoch 348, current loss (training) 0.0150, current loss (val) 0.0160
Epoch 349, current loss (training) 0.0147, current loss (val) 0.0154
Epoch 350, current loss (training) 0.0151, current loss (val) 0.0157
Epoch 351, current loss (training) 0.0147, current loss (val) 0.0154
Epoch 352, current loss (training) 0.0149, current loss (val) 0.0155
Epoch 353, current loss (training) 0.0140, current loss (val) 0.0151
Epoch 354, current loss (training) 0.0154, current loss (val) 0.0155
Epoch 355, current loss (training) 0.0150, current loss (val) 0.0155
Epoch 356, current loss (training) 0.0149, current loss (val) 0.0153
Epoch 357, current loss (training) 0.0146, current loss (val) 0.0152
Epoch 358, current loss (training) 0.0149, current loss (val) 0.0156
Epoch 359, current loss (training) 0.0140, current loss (val) 0.0155
Epoch 360, current loss (training) 0.0147, current loss (val) 0.0152
Epoch 361, current loss (training) 0.0145, current loss (val) 0.0155
Epoch 362, current loss (training) 0.0153, current loss (val) 0.0158
Epoch 363, current loss (training) 0.0145, current loss (val) 0.0153
Epoch 364, current loss (training) 0.0142, current loss (val) 0.0152
Epoch 365, current loss (training) 0.0147, current loss (val) 0.0153
Epoch 366, current loss (training) 0.0143, current loss (val) 0.0153
Epoch 367, current loss (training) 0.0153, current loss (val) 0.0159
Epoch 368, current loss (training) 0.0149, current loss (val) 0.0153
Epoch 369, current loss (training) 0.0149, current loss (val) 0.0154
Epoch 370, current loss (training) 0.0152, current loss (val) 0.0156
Epoch 371, current loss (training) 0.0142, current loss (val) 0.0152
Epoch 372, current loss (training) 0.0147, current loss (val) 0.0152
Epoch 373, current loss (training) 0.0148, current loss (val) 0.0155
Epoch 374, current loss (training) 0.0142, current loss (val) 0.0154
Epoch 375, current loss (training) 0.0145, current loss (val) 0.0155
Epoch 376, current loss (training) 0.0142, current loss (val) 0.0155
Epoch 377, current loss (training) 0.0147, current loss (val) 0.0155
Epoch 378, current loss (training) 0.0142, current loss (val) 0.0153
Epoch 379, current loss (training) 0.0144, current loss (val) 0.0154
Epoch 380, current loss (training) 0.0148, current loss (val) 0.0156
